exp;video;cytokinesis;cut;x;y
EXP1;Control-4;224;232;721;12
EXP1;Control-4;229;244;784;273
EXP1;Control-5;1;9;166;739
EXP1;Control-5;5;26;385;168
EXP1;Control-5;15;25;288;602
EXP1;Control-5;16;30;1476;480
EXP1;Control-5;17;27;371;447
EXP1;Control-5;17;25;1184;230
EXP1;Control-5;23;35;119;439
EXP1;Control-5;25;42;1019;576
EXP1;Control-5;37;46;314;526
EXP1;Control-5;45;57;723;306
EXP1;Control-5;58;70;1212;419
EXP1;Control-5;68;77;1506;914
EXP1;Control-5;80;93;1295;848
EXP1;Control-5;86;98;894;791
EXP1;Control-5;105;122;1490;441
EXP1;Control-5;109;119;1496;103
EXP1;Control-5;130;138;101;604
EXP1;Control-5;135;142;198;649
EXP1;Control-5;135;140;1045;210
EXP1;Control-5;139;144;1202;290
EXP1;Control-5;145;154;310;765
EXP1;Control-5;152;160;651;113
EXP1;Control-5;153;164;667;508
EXP1;Control-5;153;162;524;745
EXP1;Control-5;153;168;653;888
EXP1;Control-5;154;162;339;471
EXP1;Control-5;156;166;81;290
EXP1;Control-5;166;177;280;578
EXP1;Control-5;170;184;514;409
EXP1;Control-5;180;188;719;405
EXP1;Control-5;182;191;848;349
EXP1;Control-5;182;196;1494;628
EXP1;Control-5;183;194;1297;443
EXP1;Control-5;186;195;1148;743
EXP1;Control-5;186;197;1035;634
EXP1;Control-5;188;203;1458;800
EXP1;Control-5;192;201;1460;854
EXP1;Control-5;193;207;1393;987
EXP1;Control-5;200;210;753;767
EXP1;Control-5;201;211;878;1005
EXP1;Control-5;206;213;928;711
EXP1;Control-5;206;222;1554;380
EXP1;Control-5;226;233;87;932
EXP1;Control-5;241;251;1335;35
EXP1;Control-5;243;251;1119;250
EXP1;Control-6;27;41;1006;102
EXP1;Control-6;40;59;944;222
EXP1;Control-6;66;78;110;92
EXP1;Control-6;67;79;654;184
EXP1;Control-6;70;81;608;618
EXP1;Control-6;87;99;460;268
EXP1;Control-6;88;99;1010;830
EXP1;Control-6;90;101;532;986
EXP1;Control-6;99;113;1322;110
EXP1;Control-6;104;121;250;390
EXP1;Control-6;106;123;1036;498
EXP1;Control-6;116;129;1580;194
EXP1;Control-6;132;142;1198;852
EXP1;Control-6;138;147;1200;270
EXP1;Control-6;142;151;224;836
EXP1;Control-6;144;154;742;248
EXP1;Control-6;150;160;1024;58
EXP1;Control-6;151;161;1066;282
EXP1;Control-6;180;189;782;480
EXP1;Control-6;181;190;430;780
EXP1;Control-6;182;191;634;198
EXP1;Control-6;183;194;1012;982
EXP1;Control-6;187;197;412;96
EXP1;Control-6;187;196;138;140
EXP1;Control-6;193;203;974;770
EXP1;Control-6;196;207;578;910
EXP1;Control-6;204;212;296;206
EXP1;Control-6;204;213;744;938
EXP1;Control-6;210;217;506;388
EXP1;Control-6;216;226;248;414
EXP1;Control-6;230;241;228;520
EXP1;Control-6;233;245;1294;54
EXP1;Control-6;234;246;1352;250
EXP1;Control-7;3;12;872;60
EXP1;Control-7;6;17;284;222
EXP1;Control-7;11;31;1176;168
EXP1;Control-7;33;54;1122;594
EXP1;Control-7;51;74;1388;460
EXP1;Control-7;66;83;28;646
EXP1;Control-7;68;82;1440;358
EXP1;Control-7;72;82;246;632
EXP1;Control-7;88;99;744;958
EXP1;Control-7;89;104;534;840
EXP1;Control-7;90;102;620;38
EXP1;Control-7;92;109;438;628
EXP1;Control-7;98;110;100;866
EXP1;Control-7;108;120;668;248
EXP1;Control-7;113;129;970;506
EXP1;Control-7;117;130;750;584
EXP1;Control-7;119;131;344;896
EXP1;Control-7;130;140;1204;238
EXP1;Control-7;137;148;818;816
EXP1;Control-7;140;146;1018;274
EXP1;Control-7;142;151;1172;76
EXP1;Control-7;144;152;1170;852
EXP1;Control-7;145;153;1328;842
EXP1;Control-7;147;151;24;284
EXP1;Control-7;154;170;976;608
EXP1;Control-7;178;189;156;654
EXP1;Control-7;178;190;1328;344
EXP1;Control-7;188;200;1500;488
EXP1;Control-7;191;200;418;508
EXP1;Control-7;192;203;1592;374
EXP1;Control-7;203;211;428;726
EXP1;Control-7;215;223;926;1008
EXP1;Control-7;221;228;246;476
EXP1;Control-7;221;229;470;938
EXP1;Control-7;224;232;662;38
EXP1;Control-7;226;237;582;686
EXP1;Control-7;235;246;760;360
EXP1;Control-7;234;252;836;628
EXP1;Control-8;36;51;1392;880
EXP1;Control-8;42;60;480;906
EXP1;Control-8;49;63;1086;774
EXP1;Control-8;64;78;466;595
EXP1;Control-8;77;93;1313;773
EXP1;Control-8;89;114;201;889
EXP1;Control-8;96;110;392;1010
EXP1;Control-8;105;119;714;440
EXP1;Control-8;107;119;691;820
EXP1;Control-8;119;131;1346;92
EXP1;Control-8;121;133;1258;532
EXP1;Control-8;128;138;1355;232
EXP1;Control-8;129;140;1058;420
EXP1;Control-8;131;142;1058;208
EXP1;Control-8;143;154;1490;626
EXP1;Control-8;147;157;1104;1040
EXP1;Control-8;149;162;430;264
EXP1;Control-8;159;169;1142;903
EXP1;Control-8;161;174;1036;714
EXP1;Control-8;161;175;1506;868
EXP1;Control-8;165;175;574;882
EXP1;Control-8;191;207;90;712
EXP1;Control-8;191;201;1376;576
EXP1;Control-8;201;213;399;857
EXP1;Control-8;211;223;188;864
EXP1;Control-8;218;232;322;242
EXP1;Control-8;218;229;528;616
EXP1;Control-8;218;230;674;358
EXP1;Control-8;223;231;1482;44
EXP1;Control-8;231;240;482;544
EXP1;Control-8;232;240;34;22
EXP1;Control-8;234;244;654;776
EXP1;Control-8;234;244;1174;592
EXP1;Control-8;238;247;1566;287
EXP1;Control-9;9;21;138;100
EXP1;Control-9;76;86;1364;408
EXP1;Control-9;92;105;1494;836
EXP1;Control-9;98;115;558;950
EXP1;Control-9;98;115;1206;1006
EXP1;Control-9;99;115;421;666
EXP1;Control-9;105;123;374;891
EXP1;Control-9;110;118;1114;756
EXP1;Control-9;119;133;548;276
EXP1;Control-9;119;132;818;912
EXP1;Control-9;128;141;1096;0
EXP1;Control-9;129;143;1208;338
EXP1;Control-9;140;151;458;134
EXP1;Control-9;140;148;716;164
EXP1;Control-9;154;178;674;630
EXP1;Control-9;194;202;1422;498
EXP1;Control-9;213;222;316;640
EXP1;Control-9;213;223;1088;952
EXP1;Control-9;215;225;693;779
EXP1;Control-9;218;227;1174;804
EXP1;Control-9;222;229;1253;748
EXP1;Control-9;223;232;1410;994
EXP1;Control-9;225;232;389;819
EXP1;Control-9;228;235;1542;780
EXP1;Control-9;231;241;71;309
EXP1;Control-9;234;246;776;1064
EXP1;Control-9;236;244;882;972
EXP1;CEP55-11;57;142;1520;154
EXP1;CEP55-10;46;102;899;519
EXP1;CEP55-10;128;158;314;639
EXP1;CEP55-10;162;203;648;267
EXP1;CEP55-10;183;220;189;163
EXP1;CEP55-9;7;78;1080;1042
EXP1;CEP55-9;43;130;1267;54
EXP1;CEP55-9;57;78;218;29
EXP1;CEP55-9;77;179;960;517
EXP1;CEP55-9;80;118;772;442
EXP1;CEP55-9;95;110;497;58
EXP1;CEP55-9;116;149;37;896
EXP1;CEP55-9;127;158;372;730
EXP1;CEP55-9;127;152;1250;766
EXP1;CEP55-9;129;139;1052;160
EXP1;CEP55-9;134;158;1351;447
EXP1;CEP55-9;136;168;956;989
EXP1;CEP55-9;140;148;1435;888
EXP1;CEP55-9;169;183;778;230
EXP1;CEP55-9;204;221;1390;187
EXP1;CEP55-9;207;230;783;912
EXP1;CEP55-8;26;139;573;349
EXP1;CEP55-8;33;121;1247;842
EXP1;CEP55-8;84;128;1522;179
EXP1;CEP55-8;105;135;1376;140
EXP1;CEP55-8;107;146;1339;380
EXP1;CEP55-8;123;172;182;1029
EXP1;CEP55-8;150;167;437;331
EXP1;CEP55-8;167;190;1306;863
EXP1;CEP55-8;182;214;1348;924
EXP1;CEP55-8;183;207;1064;523
EXP1;CEP55-8;211;235;1472;193
EXP1;CEP55-8;211;238;1497;681
EXP1;CEP55-7;16;63;628;900
EXP1;CEP55-7;57;69;1424;358
EXP1;CEP55-7;63;87;1186;478
EXP1;CEP55-7;68;96;1370;720
EXP1;CEP55-7;70;110;56;580
EXP1;CEP55-7;74;107;904;40
EXP1;CEP55-7;88;136;972;280
EXP1;CEP55-7;166;211;148;266
EXP1;CEP55-7;166;193;1510;84
EXP1;CEP55-7;170;224;612;332
EXP1;CEP55-7;172;193;1440;794
EXP1;CEP55-7;173;201;1316;542
EXP1;CEP55-7;186;207;1198;626
EXP1;CEP55-7;199;221;224;744
EXP1;CEP55-7;206;224;948;556
EXP1;CEP55-7;208;224;1258;364
EXP1;CEP55-7;217;237;541;249
EXP1;CEP55-7;226;244;140;522
EXP1;CEP55-6;17;47;484;120
EXP1;CEP55-6;30;68;200;784
EXP1;CEP55-6;50;106;10;388
EXP1;CEP55-6;51;76;110;876
EXP1;CEP55-6;74;105;76;598
EXP1;CEP55-6;147;193;310;1024
EXP1;CEP55-6;152;211;548;552
EXP1;CEP55-6;153;198;102;754
EXP1;CEP55-6;179;192;96;322
EXP1;CEP55-5;48;81;738;946
EXP1;CEP55-5;55;76;168;956
EXP1;CEP55-5;71;108;558;88
EXP1;CEP55-5;124;225;308;784
EXP1;CEP55-5;144;166;654;620
EXP1;CEP55-5;161;187;694;986
EXP1;CEP55-5;183;211;610;178
EXP1;CEP55-5;185;214;1114;104
EXP1;CEP55-5;198;221;1456;1068
EXP1;CEP55-4;223;241;925;996
EXP1;CEP55-3;35;252;984;741
EXP1;CEP55-3;65;100;460;426
EXP1;CEP55-3;91;139;1261;298
EXP1;CEP55-3;106;174;572;264
EXP1;CEP55-3;105;136;949;143
EXP1;CEP55-3;116;214;574;404
EXP1;CEP55-3;148;181;786;317
EXP1;CEP55-3;163;185;1524;624
EXP1;CEP55-2;73;118;123;84
EXP1;CEP55-2;81;92;550;1023
EXP1;CEP55-2;83;156;848;876
EXP1;CEP55-2;205;252;1504;361
EXP1;CEP55-2;192;204;561;845
EXP1;CEP55-2;220;242;830;740
EXP1;CEP55-1;53;125;826;722
EXP1;CEP55-1;77;128;278;772
EXP1;CEP55-1;69;136;1354;844
EXP1;CEP55-1;74;135;1216;1020
EXP1;CEP55-1;110;162;1234;438
EXP1;CEP55-1;136;158;1063;615
EXP1;CEP55-1;166;207;565;836
EXP1;CEP55-1;169;213;641;996
EXP1;CEP55-1;170;210;818;578
EXP1;CEP55-1;170;211;854;785
EXP1;CEP55-1;175;219;1326;866
EXP1;CEP55-1;176;213;1334;685
EXP1;CEP55-1;189;247;766;957
EXP1;CEP55-1;193;221;1225;1084
EXP1;CEP55-1;194;234;1186;831
EXP1;CEP55-1;194;222;181;824
EXP1;CEP55-1;170;213;655;995
EXP1;CEP55-1;165;207;653;835
EXP1;CEP55-1;170;252;853;782
EXP1;CEP55-1;170;210;812;575
EXP1;CEP55-1;175;219;1328;865
EXP1;CEP55-1;182;220;918;1047
EXP1;CEP55-1;228;252;208;229
EXP1;MICAL1-11;45;58;1049;918
EXP1;MICAL1-11;99;109;1082;669
EXP1;MICAL1-11;109;118;1133;561
EXP1;MICAL1-11;130;149;667;404
EXP1;MICAL1-11;205;215;97;365
EXP1;MICAL1-11;206;213;1070;1052
EXP1;MICAL1-10;33;52;1418;196
EXP1;MICAL1-10;39;56;1038;657
EXP1;MICAL1-10;46;56;674;719
EXP1;MICAL1-10;58;82;1202;803
EXP1;MICAL1-10;65;79;60;60
EXP1;MICAL1-10;80;112;762;590
EXP1;MICAL1-10;87;102;1058;127
EXP1;MICAL1-10;98;109;811;186
EXP1;MICAL1-10;125;140;1189;1029
EXP1;MICAL1-10;188;197;788;384
EXP1;MICAL1-10;194;202;421;541
EXP1;MICAL1-10;200;221;1553;963
EXP1;MICAL1-10;202;220;1064;879
EXP1;MICAL1-10;222;233;529;338
EXP1;MICAL1-10;222;251;633;943
EXP1;MICAL1-10;226;232;546;64
EXP1;MICAL1-10;226;237;1059;98
EXP1;MICAL1-10;228;237;800;230
EXP1;MICAL1-10;228;241;1320;503
EXP1;MICAL1-10;230;245;732;721
EXP1;MICAL1-9;12;23;662;322
EXP1;MICAL1-9;13;26;294;194
EXP1;MICAL1-9;30;78;911;623
EXP1;MICAL1-9;33;45;585;524
EXP1;MICAL1-9;39;55;136;993
EXP1;MICAL1-9;56;76;804;770
EXP1;MICAL1-9;62;78;1130;54
EXP1;MICAL1-9;62;74;1471;184
EXP1;MICAL1-9;65;74;748;102
EXP1;MICAL1-9;74;113;1309;611
EXP1;MICAL1-9;81;94;1003;449
EXP1;MICAL1-9;90;104;1265;68
EXP1;MICAL1-9;114;125;1092;944
EXP1;MICAL1-9;120;130;744;922
EXP1;MICAL1-9;136;151;1078;455
EXP1;MICAL1-9;140;147;775;410
EXP1;MICAL1-9;141;151;347;169
EXP1;MICAL1-9;142;164;702;632
EXP1;MICAL1-9;149;160;218;138
EXP1;MICAL1-9;149;155;580;246
EXP1;MICAL1-9;153;163;540;508
EXP1;MICAL1-9;155;163;226;411
EXP1;MICAL1-9;161;172;615;421
EXP1;MICAL1-9;167;176;1073;94
EXP1;MICAL1-9;170;178;784;40
EXP1;MICAL1-9;171;179;723;174
EXP1;MICAL1-9;177;204;1274;494
EXP1;MICAL1-9;179;188;40;954
EXP1;MICAL1-9;179;186;1590;314
EXP1;MICAL1-9;180;187;1038;320
EXP1;MICAL1-9;180;211;1180;778
EXP1;MICAL1-9;182;192;147;816
EXP1;MICAL1-9;202;210;227;495
EXP1;MICAL1-9;231;239;1176;902
EXP1;MICAL1-9;231;238;1056;1010
EXP1;MICAL1-8;13;24;1443;368
EXP1;MICAL1-8;22;34;662;432
EXP1;MICAL1-8;29;36;214;390
EXP1;MICAL1-8;32;45;814;316
EXP1;MICAL1-8;41;59;942;220
EXP1;MICAL1-8;81;97;202;788
EXP1;MICAL1-8;87;98;1128;894
EXP1;MICAL1-8;123;135;746;846
EXP1;MICAL1-8;126;137;1434;905
EXP1;MICAL1-8;127;139;1390;395
EXP1;MICAL1-8;132;140;1284;128
EXP1;MICAL1-8;136;143;1288;628
EXP1;MICAL1-8;139;149;894;470
EXP1;MICAL1-8;141;148;1520;267
EXP1;MICAL1-8;142;155;527;428
EXP1;MICAL1-8;146;154;181;334
EXP1;MICAL1-8;150;158;711;205
EXP1;MICAL1-8;159;168;190;505
EXP1;MICAL1-8;162;173;827;356
EXP1;MICAL1-8;166;185;1008;306
EXP1;MICAL1-8;186;201;814;108
EXP1;MICAL1-8;193;204;1119;859
EXP1;MICAL1-8;200;211;970;1051
EXP1;MICAL1-8;206;214;174;752
EXP1;MICAL1-8;211;221;395;839
EXP1;MICAL1-8;222;232;1413;336
EXP1;MICAL1-8;223;232;807;968
EXP1;MICAL1-8;228;239;1469;493
EXP1;MICAL1-8;231;237;1394;1056
EXP1;MICAL1-8;232;239;1358;60
EXP1;MICAL1-8;232;237;1019;771
EXP1;MICAL1-8;232;239;1226;759
EXP1;MICAL1-8;234;245;595;1087
EXP1;MICAL1-8;234;243;1047;697
EXP1;MICAL1-8;236;247;1303;890
EXP1;MICAL1-8;238;247;1590;829
EXP1;MICAL1-8;239;246;1552;252
EXP1;MICAL1-8;242;251;724;529
EXP1;MICAL1-7;86;103;132;72
EXP1;MICAL1-7;86;105;538;96
EXP1;MICAL1-7;96;108;232;400
EXP1;MICAL1-7;102;120;218;202
EXP1;MICAL1-7;104;116;1032;182
EXP1;MICAL1-7;108;118;1116;944
EXP1;MICAL1-7;109;124;808;422
EXP1;MICAL1-7;112;126;554;530
EXP1;MICAL1-7;114;127;578;318
EXP1;MICAL1-7;115;125;1556;722
EXP1;MICAL1-7;122;133;988;384
EXP1;MICAL1-7;125;137;1498;272
EXP1;MICAL1-7;130;143;392;930
EXP1;MICAL1-7;139;149;998;850
EXP1;MICAL1-7;144;171;1122;520
EXP1;MICAL1-7;181;196;58;216
EXP1;MICAL1-7;201;213;590;180
EXP1;MICAL1-7;210;218;242;368
EXP1;MICAL1-7;216;224;134;294
EXP1;MICAL1-7;223;234;602;702
EXP1;MICAL1-7;224;234;950;150
EXP1;MICAL1-7;224;234;728;400
EXP1;MICAL1-7;225;234;28;374
EXP1;MICAL1-7;227;233;1218;834
EXP1;MICAL1-7;228;239;708;276
EXP1;MICAL1-7;229;240;1386;206
EXP1;MICAL1-7;229;236;1126;292
EXP1;MICAL1-7;232;242;472;308
EXP1;MICAL1-7;233;243;822;530
EXP1;MICAL1-7;234;245;506;544
EXP1;MICAL1-6;7;20;1216;174
EXP1;MICAL1-6;41;85;1016;422
EXP1;MICAL1-6;51;58;666;398
EXP1;MICAL1-6;70;95;1222;390
EXP1;MICAL1-6;78;93;372;276
EXP1;MICAL1-6;85;94;798;572
EXP1;MICAL1-6;125;136;606;778
EXP1;MICAL1-6;129;142;1116;252
EXP1;MICAL1-6;133;144;318;300
EXP1;MICAL1-6;137;148;666;30
EXP1;MICAL1-6;143;158;860;376
EXP1;MICAL1-6;150;163;926;36
EXP1;MICAL1-6;153;166;1086;202
EXP1;MICAL1-6;165;177;1494;828
EXP1;MICAL1-6;166;178;1020;502
EXP1;MICAL1-6;180;189;810;232
EXP1;MICAL1-6;187;197;370;22
EXP1;MICAL1-6;188;199;1196;544
EXP1;MICAL1-6;194;208;1314;336
EXP1;MICAL1-6;217;229;564;510
EXP1;MICAL1-6;222;233;198;1054
EXP1;MICAL1-6;230;244;1314;990
EXP1;MICAL1-5;4;27;838;246
EXP1;MICAL1-5;20;29;696;802
EXP1;MICAL1-5;25;54;416;292
EXP1;MICAL1-5;28;42;1380;830
EXP1;MICAL1-5;33;53;862;406
EXP1;MICAL1-5;38;50;424;928
EXP1;MICAL1-5;43;66;1066;402
EXP1;MICAL1-5;123;139;290;296
EXP1;MICAL1-5;140;150;680;144
EXP1;MICAL1-5;149;164;820;782
EXP1;MICAL1-5;150;163;374;302
EXP1;MICAL1-5;165;176;1056;424
EXP1;MICAL1-5;167;179;860;24
EXP1;MICAL1-5;167;179;1486;308
EXP1;MICAL1-5;172;181;892;802
EXP1;MICAL1-5;179;189;30;222
EXP1;MICAL1-5;179;190;1520;996
EXP1;MICAL1-5;184;193;350;690
EXP1;MICAL1-5;185;193;102;538
EXP1;MICAL1-5;191;201;48;908
EXP1;MICAL1-5;216;225;1000;258
EXP1;MICAL1-4;10;23;806;162
EXP1;MICAL1-4;11;23;920;704
EXP1;MICAL1-4;17;27;378;400
EXP1;MICAL1-4;27;42;730;154
EXP1;MICAL1-4;35;42;70;742
EXP1;MICAL1-4;38;60;744;1040
EXP1;MICAL1-4;44;52;340;958
EXP1;MICAL1-4;49;64;622;410
EXP1;MICAL1-4;55;65;772;538
EXP1;MICAL1-4;70;89;1012;262
EXP1;MICAL1-4;74;89;1100;314
EXP1;MICAL1-4;79;94;316;800
EXP1;MICAL1-4;80;92;662;892
EXP1;MICAL1-4;84;100;1264;742
EXP1;MICAL1-4;86;99;1162;206
EXP1;MICAL1-4;140;149;902;648
EXP1;MICAL1-4;141;152;532;372
EXP1;MICAL1-4;169;180;62;902
EXP1;MICAL1-4;178;192;24;336
EXP1;MICAL1-4;180;190;340;446
EXP1;MICAL1-4;183;192;552;994
EXP1;MICAL1-4;188;197;996;444
EXP1;MICAL1-4;189;200;1070;40
EXP1;MICAL1-4;196;207;362;868
EXP1;MICAL1-4;199;211;952;144
EXP1;MICAL1-4;200;209;1126;1026
EXP1;MICAL1-4;200;213;1352;994
EXP1;MICAL1-4;205;211;336;754
EXP1;MICAL1-4;205;214;1082;420
EXP1;MICAL1-4;211;216;132;954
EXP1;MICAL1-4;211;219;522;496
EXP1;MICAL1-4;212;222;1123;323
EXP1;MICAL1-4;212;221;1274;707
EXP1;MICAL1-4;213;221;1144;29
EXP1;MICAL1-3;3;23;484;818
EXP1;MICAL1-3;5;20;131;667
EXP1;MICAL1-3;15;29;700;244
EXP1;MICAL1-3;28;39;1320;231
EXP1;MICAL1-3;29;42;684;842
EXP1;MICAL1-3;34;53;939;923
EXP1;MICAL1-3;37;52;1060;625
EXP1;MICAL1-3;38;48;1200;1016
EXP1;MICAL1-3;41;56;900;400
EXP1;MICAL1-3;57;80;272;716
EXP1;MICAL1-3;72;92;900;1000
EXP1;MICAL1-3;92;108;1475;755
EXP1;MICAL1-3;142;150;250;560
EXP1;MICAL1-3;153;166;519;740
EXP1;MICAL1-3;156;170;600;876
EXP1;MICAL1-3;157;178;620;400
EXP1;MICAL1-3;162;171;1130;776
EXP1;MICAL1-3;164;175;1077;150
EXP1;MICAL1-3;164;173;1167;478
EXP1;MICAL1-3;173;185;1000;270
EXP1;MICAL1-3;175;182;1400;300
EXP1;MICAL1-3;180;190;640;250
EXP1;MICAL1-3;181;191;975;600
EXP1;MICAL1-3;182;192;1050;438
EXP1;MICAL1-3;184;195;354;836
EXP1;MICAL1-3;202;212;664;615
EXP1;MICAL1-3;203;214;809;870
EXP1;MICAL1-3;206;212;90;560
EXP1;MICAL1-3;210;216;1500;700
EXP1;MICAL1-3;211;212;1400;129
EXP1;MICAL1-3;213;223;944;867
EXP1;MICAL1-3;214;229;1100;992
EXP1;MICAL1-3;217;229;1464;384
EXP1;MICAL1-3;227;240;1182;876
EXP1;MICAL1-2;4;19;560;580
EXP1;MICAL1-2;71;81;250;225
EXP1;MICAL1-2;82;94;900;825
EXP1;MICAL1-2;84;95;215;860
EXP1;MICAL1-2;91;103;477;313
EXP1;MICAL1-2;107;122;270;450
EXP1;MICAL1-2;109;121;436;686
EXP1;MICAL1-2;136;144;668;752
EXP1;MICAL1-2;140;147;1350;930
EXP1;MICAL1-2;157;170;950;430
EXP1;MICAL1-2;203;211;600;500
EXP1;MICAL1-2;204;212;250;280
EXP1;MICAL1-2;211;222;1250;430
EXP1;MICAL1-2;223;232;226;530
EXP1;MICAL1-2;223;232;428;536
EXP1;MICAL1-2;227;235;850;885
EXP1;MICAL1-1;9;22;1415;365
EXP1;MICAL1-1;19;34;1518;160
EXP1;MICAL1-1;49;60;780;660
EXP1;MICAL1-1;65;79;1500;138
EXP1;MICAL1-1;169;179;650;750
EXP1;MICAL1-1;181;193;517;600
EXP1;MICAL1-1;193;212;1100;70
EXP1;MICAL1-1;200;211;750;725
EXP1;MICAL1-1;224;232;94;934
EXP2;siControl-10;8;20;1489;793
EXP2;siControl-10;67;77;388;648
EXP2;siControl-10;68;81;1482;92
EXP2;siControl-10;68;79;349;944
EXP2;siControl-10;90;117;457;414
EXP2;siControl-10;98;109;1228;148
EXP2;siControl-10;104;115;1088;506
EXP2;siControl-10;105;123;1286;648
EXP2;siControl-10;108;119;1362;310
EXP2;siControl-10;109;121;1049;732
EXP2;siControl-10;113;131;1350;896
EXP2;siControl-10;122;137;108;381
EXP2;siControl-10;126;135;860;540
EXP2;siControl-10;129;138;585;169
EXP2;siControl-10;139;151;830;221
EXP2;siControl-10;142;151;958;214
EXP2;siControl-10;147;165;1385;1004
EXP2;siControl-10;164;173;680;66
EXP2;siControl-10;190;198;1442;30
EXP2;siControl-10;191;201;1492;204
EXP2;siControl-10;191;202;1501;744
EXP2;siControl-10;194;202;296;644
EXP2;siControl-10;194;205;510;638
EXP2;siControl-10;201;217;308;481
EXP2;siControl-10;209;232;569;348
EXP2;siControl-10;232;246;1329;674
EXP2;siControl-10;235;250;937;650
EXP2;siControl-9;2;28;1265;352
EXP2;siControl-9;7;20;542;408
EXP2;siControl-9;17;31;108;848
EXP2;siControl-9;23;34;148;881
EXP2;siControl-9;33;40;986;618
EXP2;siControl-9;36;44;886;253
EXP2;siControl-9;37;51;456;226
EXP2;siControl-9;55;67;257;445
EXP2;siControl-9;74;91;626;934
EXP2;siControl-9;84;91;1362;841
EXP2;siControl-9;95;105;1210;1012
EXP2;siControl-9;118;133;1072;449
EXP2;siControl-9;122;133;1277;397
EXP2;siControl-9;123;145;278;620
EXP2;siControl-9;125;138;1384;204
EXP2;siControl-9;130;148;501;337
